phase,acc@avg,acc@1,acc@5,f1-micro,loss
0,0.8082,0.8082,0.941,0.8082,3.2372797009061074
1,0.7856000000000001,0.763,0.9275,0.763,3.4697848751767015
2,0.7670666666666667,0.73,0.9072857142857143,0.73,3.6677458797249067
3,0.7487375000000001,0.69375,0.888625,0.69375,3.84538845269438
